Ad_2_AT3_13 0100000100011?100010000000101
Ad1_0_0_15 00100000000100100011000110001
G1_2_FR5_14 0100001000011?100010001000000
G_1_DE1_14 01000000000100100011000100001
K_1_FR1_13 01000000000100100011000110111
Kr_0_CH2_14 0010000000000-1000-1101110001
Lf_1_FR1_14 0100000000010?100010000110111
Lz_1_AT1_13 01000000000100100011000110001
Lz1_1_AT2_13 00001000000101100011100001001
S_2_AT3_13 0100000100011?100010000000101
S3_0_DE9_15 0?000000000101100011000110001
W_1_AT1_12 01000000000100100011000000001
W7_1_AT2_14 0000100000010?100011101101001
W1_1_AT2_13 0100000000010?100011001100001
W8_0_0_14 01000000000100100010000-00001
W2_0_0_13 0010000100011?100011101---1-1
W3_1_DE2_13 00010000000101100010000---001
W4_0_0_13 00100000000101100010010000001
W5_2_AT3_13 00100001000110100010000000101
Br_1_FR1_13 01000000000100100011000110111
Br1_1_BE1_13 0100000000000-1000-0000101101
Br2_1_BE1_14 10000010000100100011000110001
Br4_0_0_14 1000000100011?100011011010111
Br3_0_0_14 0010000000010?100010000000001
Aa_0_0_14 00100000000100100011100-00110
Ba_0_0_13 00100001010101100010000110101
Co_0_FR6_13 0100000100011?010011101010001
Sg_1_IT1_13 00100000000100100011000010001
Z_2_FR5_15 010000-000011?100010001100111
Z1_4_CH1_15 0010000100010-010011100110001
Pr_0_0_14 00100001000100100010000-01001
Pr2_0_0_15 0010000000011-010011100000001
Mv_1_GB3_13 10000010000101100010111-----1
Bc_1_ES1_14 0100000100010?100011000100000
Ax_1_FR2_13 0100000000010?010011000110111
Av_2_FR3_14 00001000000101100010001-----0
Ca_1_BE1_12 01000000000100100011001010111
Di1_0_0_14 0100000000000-1000-1001100001
Gr_0_0_13 00100001000101100011000001001
Ly_1_AT2_13 00001000000100100011100001001
Nc_2_FR5_13 0010000100011?100011100001000
P13_0_FR7_14 01000000000101100011001-00001
P3_0_0_13 01000000000100100011001001101
P7_0_0_13 0001000000010?100011000001001
P10_1_FR1_13 0100000000010?100011001110111
P15_1_DE5_15 00100001000101100010010110001
P9_0_0_13 0100000000010?100011000110101
P1_1_FR1_13 01000000000101100011000010111
P5_0_0_13 0100000001000-1000-0000-----0
P_0_0_13 01000000000100100011000100001
P4_2_FR3_13 01000001000101100011001110001
P8_2_FR3_13 00001000000101100011001010??1
P6_0_0_13 01000000000111010010000100000
P2_2_FR3_13 00001000000101100010001110111
P12_2_GB4_13 0010000100011?000101101001000
T_0_0_13 01000000000101100011000110101
Va_0_0_13 01000010000101100011001010101
C2_1_FR1_13 01000000000100100011000110111
C5_1_FR1_13 0100000000010?100010000110111
C11_0_0_15 00100000000101100011101-----1
