vbb-342 0010000000010?100010001010001
vbb-343 0010000100011?000111100001001
rmw-10-a-15 00100000000101100011000110111
lun-vlf-4 0100000000010?010011001110101
lun-vlf-31 01000000000100100011000001101
tbu-rps-75-iii 0010000000010?100010110010000
wbu-i-f-103 00100000000100100010000010001
uub-c-129 00100001000110010011000110001
cnl-29 01000000000101100011000100111
chl-typ-216 0100001000011?100011001110111
cma-1973.5 0100001000010-100011101001100
nbl-1183 0100000000010?100011000000001
nbl-osborn-fa75 10000000000101100011000000101
nmm-clo-2002-433 01000001000111100011001110111
npm-m-367 0100000100011?010011101000001
npm-m-628 0010000100011?000101101-----1
npm-m-689 0001001101010?100011011?10111
pfl-lew-e-72 10000000000101100011101-00001
pfl-lew-e-202 00100000000100100011101010100
pkc-1066 0010000100011?100010000100000
pul-scheide-6 1000000000010?100011100010111
vba-pal-lat-143 0010000000010-0100-1100110001
vba-pal-lat-963 0100001000011?100011000100101
vba-pal-lat-1723 0010000000010?100011000010110
vba-bar-lat-9925 01000000000101100011000001001
vba-vat-lat-1972 01000000000101100011000101101
vba-vat-lat-3782 0100000001010?100011001-00001
vba-vat-lat-3783 0100000000010?100011001110111
Unbenannt_1 0010000000000-0100-0110001000
Unbenannt_2 01000000000110100011001000101
bub-cl-113 0001001101010?10001???1001111
lbm-863 0010000100011?100011000001000
bsb-theol-lat-fol-7 00100000001100010010000110110
bsb-theol-lat-fol-204 00100000001100010010000110111
obl-ash-1524 1010000000000------?1?0-----0
Ch 0100000000000-0100-0000-----1
Unbenannt_3 0000100000000-1000-0010100000
P14 00100000000100010011101010??1
Uppsala2 0010000100011?100010010-01000
P16 01000010000101100011001111101
 01000000000100100010001101001
