PID;sigla;Version;Variant;title;notbefore;notafter
npm-m-689;Ny3;5;I2; New York, Pierpont Morgan Library, M.689;1300.0;1324.0
rbs-4254;R1;5;I2; Roma, Biblioteca Casanatense, Ms. 4254;1320.0;1340.0
drm-kb-74-j-5;Dh1;6;N; Den Haag, Koninklijke Bibliotheek, Ms. 74 J 5;;
lub-apel-1;Le1;6;N; Leipzig, Universitätsbibliothek, Ms. Apel 1;1400.0;1449.0
pbn-lat-16020;P14;6;N; Paris, Bibliothèque nationale de France, Lat. 16020;;
wha-oct-111;We1;6;N; Weimar, Herzogin Anna Amalia Bibliothek, Oct. 111;1425.0;1449.0
dul-190;Da;4;S; Darmstadt, Universitäts- und Landesbibliothek Darmstadt, Hs 190;1434.0;1466.0
fsu-germ-quart-13;Fm;4;S; Frankfurt am Main, Stadt- und Universalbibliothek, Ms. germ. quart 13;1434.0;1479.0
vba-pal-lat-143;V8;4;S; Città del Vaticano, Biblioteca Apostolica Vaticana, Pal. Lat. 143;1460.0;1470.0
whb-305a-bla;Wf4;4;S; Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 305a Blank.;1475.0;1499.0
zzb-car-c-184;Z1;4;S; Zürich, Zentralbibliothek, Car. C 184;1400.0;1499.0
ssb-605;Sg1;4;S; St. Gallen, Stiftsbibliothek, Cod. 605;1465.0;1465.0
ass-2-521;A1;;; Augsburg, Staats- und Stadtbibliothek, 2° Cod. 521;1425.0;1472.0
asa-sch-121;A2;;; Augsburg, Stadtarchiv, Schätze 121;1460.0;1479.0
akb-wettf-9;Aa;;; Aarau, Aargauer Kantonsbibliothek, Ms. WettF 9;1325.0;1349.0
akb-wettf-26-7;Aa1;;; Aarau, Aargauer Kantonsbibliothek, Ms. WettF 26:7;1398.0;1424.0
anl-brog-ii-51;Ab;;; Aberystwyth, National Library of Wales, Brogyntyn Ms. II. 51;1250.0;1299.0
anl-brog-ii-52;Ab1;;; Aberystwyth, National Library of Wales, Brogyntyn Ms. II. 52;1461.0;1466.0
abs-583;Ad1;;; Admont, Benediktinerstift, Cod. 583;1435.0;1435.0
abs-fr-b2;Ad2;;; Admont, Benediktinerstift, Fragm. B2;1300.0;1399.0
abs-fr-b1;Ad3;;; Admont, Benediktinerstift, Fragm. B1;1200.0;1299.0
ale-66;Al;;; Alençon, Bibliothèque Municipale, 66;1200.0;1299.0
ale-98;Al1;;; Alençon, Bibliothèque Municipale, Ms. 98;1200.0;1299.0
ami-1262;Am;;; Amiens, Bibliothèque Municipale, Ms. 1262;1300.0;1399.0
aux-146;Ax1;;; Auxerre, Bibliothèque Municipale, Ms. 146;1400.0;1499.0
bsb-lat-fol-141;B1;;; Berlin, Staatsbibliothek, Ms. lat. fol. 141;1200.0;1233.0
bsb-theol-lat-fol-93;B10;;; Berlin, Staatsbibliothek, Ms. theol. lat. fol. 93;1400.0;1499.0
bsb-lat-fol-24;B2;;; Berlin, Staatsbibliothek, Ms. lat. fol. 24;1300.0;1399.0
bsb-lat-fol-325;B4;;; Berlin, Staatsbibliothek, Ms. lat. fol. 325;1433.0;1433.0
bsb-theol-lat-fol-64;B6;;; Berlin, Staatsbibliothek, Ms. theol. lat. fol. 64 (Rose 243);1400.0;1499.0
bsb-theol-lat-fol-156;B9;;; Berlin, Staatsbibliothek, Ms. theol. lat. fol. 156;1300.0;1349.0
bub-cl-273;Ba;;; Basel, Universitätsbibliothek, Comites Latentes 273;1250.0;1299.0
bbc-fv2;Bi;;; Brescia, Biblioteca Civica Queriniana di Brescia, ms. F.V.2;1400.0;1699.0
bkk-86;Bl;;; Bratislava, Kapitulskà Kriznica, Ms. 86 [84];1400.0;1499.0
bwa-w-796;Bm;;; Baltimore, Walters Art Museum, W. 796;1200.0;1224.0
bsu-mbs-0121;Bn;;; Bremen, Staats- und Universitätsbibliothek Bremen, msb 0121;1300.0;1399.0
bas-4;Bo;;; Bologna, Archivio storico della Provincia di Cristo Re dei Frati Minori dell'Emilia Romagna, ms. 4;1200.0;1299.0
bbu-1761;Bo1;;; Bologna, Biblioteca Universitaria, Ms. 1761;1300.0;1324.0
bbr-270;Br2;;; Brüssel, Bibliothèque Royale de Belgique, Ms. 270;1340.0;1340.0
bbr-1485-1501;Br3;;; Brüssel, Bibliothèque Royale de Belgique, Ms. 1485-1501;1300.0;1399.0
bbr-9174;Br4;;; Brüssel, Bibliothèque Royale de Belgique, Ms. 9174;1300.0;1399.0
bra-143;Bs;;; Braunschweig, Stadtbibliothek, Ms. 143;1400.0;1499.0
bnm-237;Bu;;; Budapest, National Museum, Ms. 237;1300.0;1399.0
bnm-127;Bu1;;; Budapest, National Museum, Ms. 127;1180.0;
bps-e-11;Bx;;; Bressone, Priesterseminar/Seminario Maggiore, Cod. E 11 (olim 100);1250.0;1299.0
ctc-b-15-5;C;;; Cambridge, Trinity College, B.15.5;1194.0;1194.0
cul-dd-1-16;C1;;; Cambridge, University Library, Dd. 1.16;1175.0;1200.0
ccc-503;C11;;; Cambridge, Corpus Christi College, MS 503;1400.0;1499.0
cec-yy-3-17;C12;;; Cambridge, Emmanuel College, Yy. 3.17;1400.0;1499.0
cul-dd-8-12;C15;;; Cambridge, University Library, Dd. 8.12;1400.0;1499.0
ccc-313;C16;;; Cambridge, Corpus Christi College, MS 313;1100.0;1299.0
cch-5;C4;;; Cambridge, Christ's College, MS 5;1200.0;1299.0
cec-iii-2-26;C6;;; Cambridge, Emmanuel College, III. 2.26;1200.0;1299.0
cfm-253;C7;;; Cambridge, Fitzwilliam Museum, MS 253;1200.0;1299.0
